name,category,value,description
Goldman Sachs,Financial,285.40,Investment banking and securities firm
Morgan Stanley,Financial,275.60,Investment banking and wealth management
Berkshire Hathaway,Financial,450.25,Multinational conglomerate holding company
Visa Inc,Financial,195.80,Digital payments technology company
Mastercard Inc,Financial,185.30,Payment processing corporation
PayPal Holdings,Financial,125.45,Digital payments platform
Square Inc,Financial,85.90,Financial services and mobile payment company
American Express,Financial,165.70,Financial services corporation
Wells Fargo,Financial,45.85,Multinational financial services company
Citigroup Inc,Financial,52.30,Multinational investment bank
Intel Corp,Technology,35.60,Semiconductor and computing technology company
AMD Inc,Technology,85.25,Semiconductor company
NVIDIA Corp,Technology,425.80,Graphics processing unit manufacturer
Cisco Systems,Technology,45.90,Networking hardware and software company
Oracle Corp,Technology,95.40,Database software and cloud computing company
Salesforce Inc,Technology,185.60,Customer relationship management software
Adobe Inc,Technology,425.30,Software company specializing in creative tools
Zoom Video Communications,Technology,75.85,Video communications company
Slack Technologies,Technology,45.20,Business communication platform
Shopify Inc,E-commerce,125.70,E-commerce platform for online stores


